ELO RATING,1-WEEK CHANGE,Team,,
1750,8,,,
1698,25,,,
1666,20,,,
1660,-25,,,
1642,6,,,
1632,7,,,
1617,15,,,
1563,-20,,,
1553,10,,,
1542,,,,
1540,27,,,
1516,-25,,,
1506,-12,,,
1504,-6,,,
1503,12,,,
1500,-7,,,
1499,23,,,
1498,9,,,
1489,,,,
1481,-28,,,
1473,-8,,,
1459,28,,,
1450,12,,,
1440,-9,,,
1440,-23,,,
1406,-27,,,
1377,25,,,
1376,-10,,,
1376,,,,
1369,-15,,,
1333,,,,
1299,-12,,,
,,,,
